_key_error_vector,_normalize_class_distribution,_number_replacement,_pos_tagging,_punctuation_position,_test_files,_train_files,_use_question_mark,_vector_file,_window_size,accuracy_0,loss_1,precision_per_class_2,precision_per_class_3,precision_per_class_4,recall_per_class_5,recall_per_class_6,recall_per_class_7
this,false,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.895583,0.446206,0.934525,0.401835,0.572597,0.979358,0.277215,0.375335
this,false,true,true,6,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.891833,0.299354,0.92381,0.429565,0.586441,0.982513,0.314249,0.230975
this,false,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.89375,0.418575,0.951684,0.394649,0.501863,0.963688,0.298734,0.542282
this,true,true,false,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.594917,1.34918,0.965757,0.128053,0.149082,0.612339,0.492386,0.46103
this,false,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.886417,0.424107,0.948476,0.342217,0.569892,0.96044,0.406329,0.355705
this,false,true,true,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.858417,0.657423,0.893657,0.268493,0.307229,0.966048,0.124682,0.134565
this,false,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.87075,0.648589,0.909791,0.292469,0.454902,0.971243,0.21166,0.155914
this,false,true,true,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.901667,0.38799,0.947628,0.424125,0.638831,0.973528,0.413924,0.410188
this,true,true,false,3,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.673583,1.03741,0.980091,0.170592,0.180839,0.696492,0.605063,0.425901
this,false,true,false,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,1,0.871333,0.403456,0.871436,0.666667,-1,0.999809,0.00506329,0
this,false,true,false,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,8,0.856917,0.696563,0.886219,0.241935,0.265372,0.969874,0.0763359,0.108179
this,false,true,true,3,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.89175,0.317331,0.911643,0.513433,0.562914,0.99025,0.217722,0.226969
this,true,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.608667,1.34527,0.982432,0.153578,0.14828,0.620172,0.613924,0.442667
this,true,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.629833,0.821965,0.952139,0.121568,0.156766,0.663386,0.537975,0.255376
this,true,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.66725,1.06467,0.981233,0.162367,0.219929,0.684537,0.677215,0.414209
this,false,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,1,0.874583,0.425051,0.878722,0.398058,0.857143,0.998662,0.0518987,0.00802139
this,false,true,true,3,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.894083,0.404466,0.952826,0.376344,0.59448,0.965395,0.443038,0.373832
this,false,true,false,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.884417,0.36275,0.898238,0.490119,0.532164,0.994073,0.156962,0.121333
this,true,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.686167,0.964448,0.977684,0.169498,0.219238,0.707501,0.606329,0.471141
this,true,true,true,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.753833,0.725354,0.987477,0.204642,0.284685,0.78366,0.66962,0.424161
this,true,true,false,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.728667,0.761067,0.986378,0.18763,0.277679,0.754228,0.683544,0.41745
this,false,true,false,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,5,0.897083,0.453369,0.934707,0.403087,0.620843,0.979455,0.297468,0.375839
this,true,true,true,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.629167,0.817268,0.95809,0.128657,0.162125,0.657462,0.54557,0.319892
this,true,true,true,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,5,0.626167,1.31112,0.985845,0.16188,0.154132,0.639197,0.627848,0.442667
this,false,true,true,4,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.891417,0.293004,0.929095,0.40832,0.558442,0.980505,0.335443,0.230563
this,false,true,false,2,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.88825,0.316287,0.919279,0.417886,0.575269,0.983755,0.325316,0.143624
this,false,true,false,8,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.871417,0.396005,0.873066,0.390244,-1,0.998565,0.0203562,0
this,false,true,false,0,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,8,0.8745,0.402054,0.885238,0.38914,0.30303,0.993408,0.108999,0.0134409
