_key_error_vector,_normalize_class_distribution,_number_replacement,_pos_tagging,_punctuation_position,_window_size,_test_files,_train_files,_use_question_mark,_vector_file,accuracy_0,loss_1,precision_per_class_2,precision_per_class_3,precision_per_class_4,recall_per_class_5,recall_per_class_6,recall_per_class_7,fscore1,fscore2,fscore3,f_all
this,false,true,false,0,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.877583,0.374184,0.883887,0.486486,0.612069,0.994647,0.0683544,0.0949198,0.936001747,0.1198667532,0.1643518739,0.1936048801
this,false,true,true,0,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.877,0.371493,0.88533,0.449704,0.602151,0.993309,0.0962025,0.0748663,0.9362163321,0.1584983841,0.1331747871,0.2015279767
this,false,true,false,0,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.873833,0.428345,0.876562,0.44,-1,0.99914,0.0417722,0,0.9338457353,0.0763006583,0,0
this,false,true,true,0,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.874583,0.425051,0.878722,0.398058,0.857143,0.998662,0.0518987,0.00802139,0.9348607104,0.0918252477,0.015894039,0.0400659226
this,false,true,false,1,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.86225,0.416175,0.880811,0.282787,0.235294,0.980486,0.0873418,0.037037,0.9279796337,0.1334623277,0.0639999404,0.1239906361
this,false,true,true,1,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.859333,0.407205,0.883123,0.27,0.240506,0.975033,0.102532,0.0502645,0.9268049271,0.1486242256,0.0831508962,0.1512578414
this,false,true,false,1,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.871333,0.403456,0.871436,0.666667,-1,0.999809,0.00506329,0,0.9312191143,0.010050249,0,0
this,false,true,true,1,1,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.871333,0.397412,0.871436,0.666667,-1,0.999809,0.00506329,0,0.9312191143,0.010050249,0,0
this,false,true,false,0,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.868917,0.63557,0.914828,0.280702,0.421846,0.962641,0.162025,0.301075,0.9381256796,0.2054572753,0.3513725136,0.3417195232
this,false,true,true,0,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.87,0.61103,0.912157,0.288566,0.462604,0.966367,0.201266,0.224462,0.9384798103,0.2371365062,0.302262138,0.3492059055
this,false,true,false,0,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.874667,0.3787,0.893854,0.339223,0.398649,0.988057,0.121519,0.0793011,0.9385977357,0.1789376256,0.1322870493,0.2110702449
this,false,true,true,0,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.875083,0.370362,0.899729,0.341317,0.396313,0.984235,0.144304,0.115591,0.9400867239,0.2028471107,0.1789797149,0.2590499474
this,false,true,false,1,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.897083,0.453369,0.934707,0.403087,0.620843,0.979455,0.297468,0.375839,0.9565579556,0.3423156889,0.4682276037,0.4916091734
this,false,true,true,1,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.897917,0.412015,0.948297,0.396936,0.580247,0.970951,0.360759,0.441611,0.9594903008,0.3779838442,0.5015245913,0.5280057867
this,false,true,false,1,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.895333,0.282881,0.925395,0.447257,0.566845,0.986144,0.268354,0.284564,0.9548041938,0.3354425937,0.378909973,0.449935625
this,false,true,true,1,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.889167,0.314043,0.907936,0.475155,0.580153,0.990444,0.193671,0.204027,0.9473970054,0.2751799242,0.3018870059,0.374905927
this,false,true,false,2,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.89375,0.418575,0.951684,0.394649,0.501863,0.963688,0.298734,0.542282,0.9576483843,0.3400575854,0.5212901874,0.508197192
this,false,true,true,2,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.897,0.423071,0.949336,0.389549,0.608696,0.970473,0.41519,0.375839,0.9597881413,0.4019610068,0.4647304483,0.528030956
this,false,true,false,2,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.88825,0.327999,0.909027,0.465426,0.542222,0.990158,0.221519,0.163758,0.9478595885,0.3001716356,0.2515459086,0.3587721347
this,false,true,true,2,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.891417,0.307543,0.914308,0.49005,0.555172,0.98796,0.249367,0.216107,0.9497081712,0.3305368915,0.3111106497,0.4113744249
this,false,true,false,3,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.891667,0.421738,0.9484,0.365566,0.56998,0.966351,0.392405,0.375167,0.9572913537,0.3785103288,0.4524961443,0.508775231
this,false,true,true,3,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.894083,0.404466,0.952826,0.376344,0.59448,0.965395,0.443038,0.373832,0.9590693213,0.4069767046,0.4590166132,0.5283186753
this,false,true,false,3,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.888583,0.335963,0.906863,0.506211,0.551181,0.990345,0.206329,0.186916,0.9467672893,0.2931653224,0.2791626244,0.3726980392
this,false,true,true,3,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.89175,0.317331,0.911643,0.513433,0.562914,0.99025,0.217722,0.226969,0.9493220499,0.3057782813,0.3235011455,0.4045904334
this,false,true,false,4,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.88425,0.477358,0.932584,0.370899,0.510204,0.968069,0.329114,0.3,0.9499952493,0.3487593901,0.3778337308,0.4568567359
this,false,true,true,4,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line",false,google,0.886833,0.460433,0.936639,0.372414,0.530172,0.968069,0.341772,0.328,0.9520946834,0.3564356557,0.4052717078,0.4744319469
this,false,true,false,4,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.884417,0.36275,0.898238,0.490119,0.532164,0.994073,0.156962,0.121333,0.9437287458,0.2377756679,0.1976108677,0.2905365917
this,false,true,true,4,5,ted/2011.xml.line,"ted/2010-1.xml.line,ted/2010-2.xml.line,ted/2012.xml.line,ted/2013.xml.line,wikipedia/wikipedia.txt.line",false,google,0.888,0.342598,0.907174,0.466667,0.554167,0.9913,0.194937,0.177333,0.9473730862,0.2750003476,0.2686865253,0.3565605315
